"price";"date";"bedrooms";"bathrooms";"sqft_living";"sqft_lot";"floors";"waterfront";"view";"condition";"grade";"sqft_above";"sqft_basement";"yr_built";"yr_renovated";"zipcode";"lat";"long";"sqft_living15";"sqft_lot15"
604000;"2014 Dec";4;3;1960;5000;1;0;0;5;7;1050;910;1965;0;98136;47,5208;-122,393;1360;5000
975000;"2014 Sep";4;NA;2720;11049;2;0;0;3;10;2720;0;1989;0;98004;47,5815;-122,192;2750;11049
1325000;"2014 June";5;2,25;3200;20158;1;0;0;3;8;1600;1600;1965;0;98004;47,6303;-122,215;3390;20158
325000;"2015 Jan";3;2;1260;5612;1;0;0;4;7;1260;0;1972;0;98034;47,7362;-122,179;1640;4745
335000;"2014 Sep";2;1,75;1030;1066;2;0;0;3;7;765;265;2006;0;98136;47,5394;-122,387;1030;1106
247500;"2015 Mar";3;1,75;1960;15681;1;0;0;3;7;1960;0;1967;0;98032;47,3576;-122,277;1750;15616
1088000;"2014 Oct";3;2,5;2920;8113;2;0;0;3;8;2920;0;1950;2010;98004;47,5814;-122,196;2370;8113
391500;"2014 Nov";3;2;1450;9132;1;0;0;3;7;1450;0;1987;0;98034;47,7288;-122,226;1580;9104
1450000;"2015 Mar";4;2,75;2750;17789;1,5;0;0;3;8;1980;770;1914;1992;98004;47,6141;-122,212;3060;11275
258000;"2014 Oct";5;2;2260;12500;1;0;0;4;8;1130;1130;1960;0;98032;47,3887;-122,286;1360;18000
438000;"2015 Mar";3;1,75;1780;9660;1;0;0;3;7;1780;0;1962;0;98034;47,7171;-122,193;1200;9660
441000;"2014 June";3;2,75;1910;7280;1;0;0;3;7;1160;750;1979;0;98034;47,7319;-122,224;1710;8152
370000;"2014 Dec";3;1,75;1580;7000;1;0;0;3;7;1180;400;1976;0;98034;47,7209;-122,168;1640;7500
653000;"2014 June";3;2,5;2680;9750;1;0;0;4;8;1610;1070;1979;0;98034;47,7028;-122,231;2480;8750
589000;"2014 June";4;3;2440;9600;2;0;0;5;7;2440;0;1961;0;98034;47,7044;-122,2;2290;9600
305000;"2014 Aug";3;1,75;1650;9480;1;0;0;3;7;1220;430;1977;0;98034;47,726;-122,191;1540;8400
260000;"2014 Sep";3;2;1810;7209;1;0;0;4;7;1240;570;1978;0;98032;47,3656;-122,278;1750;7209
2900000;"2015 May";4;3,25;5050;20100;1,5;0;2;3;11;4750;300;1982;2008;98004;47,6312;-122,223;3890;20060
405000;"2015 Feb";3;1,75;1670;6720;1;0;0;3;7;1140;530;1980;0;98034;47,7198;-122,193;1670;7320
630000;"2015 Feb";4;NA;2950;9025;1;0;2;4;8;1780;1170;1975;0;98034;47,7128;-122,223;2120;9600
927000;"2014 May";4;2,75;3300;12090;2;0;0;3;8;3300;0;1953;0;98004;47,6294;-122,218;3180;12239
577500;"2014 Jul";3;2,5;2000;7251;2;0;0;3;9;2000;0;1995;0;98034;47,7067;-122,2;2450;8118
1300000;"2015 Feb";3;2;2350;15021;1;0;0;4;8;1770;580;1976;0;98004;47,6408;-122,219;3530;15715
397000;"2014 May";4;2;1440;7680;1;0;0;3;7;1200;240;1971;0;98034;47,7245;-122,2;1460;9660
205000;"2014 Aug";3;1;940;7980;1;0;0;4;7;940;0;1960;0;98032;47,3838;-122,289;1150;8050
505000;"2015 Mar";3;2;1260;5460;1;0;0;3;7;1260;0;1972;0;98034;47,7355;-122,18;1510;5460
475000;"2014 Oct";5;2,5;2340;7200;1;0;0;3;7;1300;1040;1975;0;98034;47,7206;-122,211;1930;7221
1450000;"2015 May";3;4,5;3970;24920;2;0;2;3;10;3260;710;1977;1999;98034;47,7183;-122,258;2610;13838
525000;"2014 Oct";3;1,5;1350;6000;1;0;2;3;7;900;450;1950;0;98136;47,5275;-122,391;1730;6012
669950;"2014 Oct";5;2,5;2820;14062;2;0;0;4;7;2380;440;1960;0;98034;47,7081;-122,215;1910;10392
397500;"2014 June";3;2;1510;6710;1;0;0;3;7;1070;440;1972;0;98034;47,7193;-122,216;1660;6600
299000;"2014 Sep";3;2,75;3080;19635;1;0;2;4;7;1610;1470;1958;0;98032;47,3841;-122,284;2424;NA
442000;"2015 Feb";3;1;1190;5100;1;0;0;4;7;1030;160;1941;0;98136;47,5346;-122,385;1690;5100
727500;"2014 Nov";2;2;1240;9119;1;0;0;4;7;1240;0;1952;0;98004;47,6221;-122,193;1380;9121
318888;"2014 Oct";4;1,75;2320;12000;1;0;0;4;8;2270;50;1973;0;98032;47,3644;-122,28;2120;9880
439000;"2014 Oct";4;2,25;2060;10070;2;0;0;3;7;2060;0;1975;0;98034;47,7258;-122,177;2060;8155
378000;"2015 Mar";2;NA;1300;3850;1;0;0;3;7;800;500;1963;0;98136;47,5395;-122,39;950;5500
545000;"2015 Mar";3;1,75;1680;6200;1,5;0;0;3;7;1680;0;1916;0;98136;47,5338;-122,384;1680;5100
3070000;"2014 Nov";3;2,5;3930;55867;1;1;4;4;8;2330;1600;1957;0;98034;47,7022;-122,224;2730;26324
888000;"2014 Sep";3;1,5;1250;8710;1;0;0;4;7;1250;0;1953;0;98004;47,6245;-122,198;1750;9185
497000;"2014 Jul";3;2,25;1870;9315;1;0;0;3;7;1350;520;1975;0;98034;47,705;-122,202;2230;9579
478500;"2014 Sep";3;1;2090;4755;1;0;2;3;8;1200;890;1969;0;98136;47,5304;-122,387;1850;5300
980000;"2014 Oct";4;2,25;2240;11034;2;0;0;3;8;2240;0;1976;0;98004;47,5894;-122,195;2300;11550
440000;"2015 Apr";3;1,75;1530;7245;1;0;0;4;7;1530;0;1984;0;98034;47,731;-122,191;1530;7490
250000;"2014 Dec";4;1,75;1710;7140;1;0;0;5;7;1010;700;1968;0;98032;47,3745;-122,275;1770;8960
435000;"2014 Sep";4;1,5;1510;6460;1;0;0;3;7;1070;440;1970;0;98034;47,7121;-122,214;1450;NA
824000;"2015 Mar";4;2,25;2490;9864;1;0;0;4;8;1290;1200;1961;0;98004;47,6051;-122,195;2360;9864
4e+05;"2014 June";3;1,75;1590;8219;1,5;0;0;5;6;970;620;1938;0;98034;47,7146;-122,217;2030;NA
422120;"2015 Jan";3;2,5;1630;4534;2;0;0;3;8;1630;0;1987;0;98034;47,7148;-122,205;1380;4779
285000;"2014 Jul";4;1,75;2510;7440;1;0;2;4;8;1290;1220;1962;0;98032;47,3748;-122,276;1790;8000
438000;"2014 Jul";3;2,5;1520;1304;2;0;0;3;8;1180;340;2006;0;98136;47,5446;-122,385;1270;1718
2e+05;"2015 Feb";4;2;1920;4822;1;0;0;2;6;920;1000;1914;0;98136;47,5507;-122,381;1120;4822
1270000;"2014 June";5;2,5;3200;17204;1;0;0;3;7;2160;1040;1952;0;98004;47,6209;-122,222;4090;15732
435000;"2014 Aug";3;1;1400;4800;1;0;0;4;6;700;700;1917;0;98136;47,5499;-122,391;1470;6000
